YIL,AVS,BLÇ,BLG,İSV,ÇEK,ALM,DNM,EST,YUN,İSP,FİN,FRA,HRV,MCR,İRL,İTA,LİT,LUKS,LTN,HOL,NRV,PLN,PRT,RMN,İSVE,SL,SLVK
2006,78,97,32,,174,,21,,1,189,42,351,,128,7,126,0,,6,190,11,25,40,16,69,6,49
2007,113,94,39,,150,706,32,0,4,188,54,344,,111,5,138,0,,10,193,8,28,52,24,78,14,48
2008,93,,27,,160,714,24,1,1,174,52,289,,111,7,137,0,,9,164,7,29,50,29,71,20,58
2009,101,69,19,121,185,875,32,0,3,163,62,337,,139,2,111,2,4,10,197,8,25,69,25,67,10,56
2010,90,84,18,126,198,899,23,0,2,124,44,328,19,121,6,109,4,3,13,201,7,47,51,23,68,15,48
2011,87,98,27,103,235,853,20,0,4,128,64,332,28,155,6,140,5,7,10,215,11,28,42,76,62,25,40
2012,80,102,33,140,224,872,32,5,1,138,32,356,24,148,5,124,13,5,7,202,8,80,58,57,82,16,38
2013,99,94,17,140,207,834,23,1,5,118,55,291,15,79,3,134,8,4,3,220,10,71,47,66,90,13,55
2014,92,97,29,151,279,781,21,5,4,139,64,298,28,79,5,143,6,6,6,192,15,71,44,80,77,18,44
2015,95,92,22,145,205,806,27,7,7,108,48,302,30,57,2,127,4,3,11,223,7,88,39,42,86,16,64
2016,99,104,15,140,203,798,27,1,4,115,60,314,27,76,5,165,10,3,9,221,12,116,32,48,69,26,61
2017,73,88,23,140,203,771,24,5,7,126,56,297,21,82,7,176,3,2,7,215,18,112,52,48,50,15,69
2018,92,93,15,139,184,732,25,6,5,90,48,288,23,63,9,144,4,1,4,194,16,105,29,62,79,13,71
2019,71,93,19,126,211,646,30,5,2,89,58,261,20,69,2,135,2,0,10,194,7,156,40,41,85,17,57
2020,74,94,20,114,204,678,20,2,4,69,53,203,13,114,5,116,5,2,3,198,15,127,23,38,69,16,54
2021,75,88,11,127,161,678,19,9,1,71,35,243,19,121,4,132,4,0,5,186,10,138,33,42,83,24,52
2022,101,106,14,105,214,684,16,4,0,87,52,240,22,85,6,129,6,5,7,210,12,183,29,42,60,22,77
2023,93,102,13,117,195,690,15,6,2,98,49,265,18,84,7,155,0,2,7,190,15,128,35,51,78,17,70
